2.46	4.26084	3.355	T	T	T
2.46	4.26084	6.71	T	T	F
3.69	4.97099	3.355	T	T	T
3.69	6.39127	3.355	T	T	T
3.69	6.39127	6.71	T	T	F
2.46	5.68113	6.71	T	T	F
3.69	7.81155	6.71	T	T	F
2.46	7.10141	3.355	T	T	T
2.46	8.52169	3.355	T	T	T
2.46	8.52169	6.71	T	T	F
3.69	9.23183	3.355	T	T	T
3.69	10.6521	3.355	T	T	T
3.69	10.6521	6.71	T	T	F
2.46	9.94197	6.71	T	T	F
3.69	12.0724	6.71	T	T	F
2.46	11.3622	3.355	T	T	T
4.92	4.26084	3.355	T	T	T
4.92	4.26084	6.71	T	T	F
6.15	4.97099	3.355	T	T	T
6.15	6.39127	3.355	T	T	T
6.15	6.39127	6.71	T	T	F
4.92	5.68113	6.71	T	T	F
6.15	7.81155	6.71	T	T	F
4.92	7.10141	3.355	T	T	T
4.92	8.52169	3.355	T	T	T
4.92	8.52169	6.71	T	T	F
6.15	9.23183	3.355	T	T	T
6.15	10.6521	3.355	T	T	T
6.15	10.6521	6.71	T	T	F
4.92	9.94197	6.71	T	T	F
6.15	12.0724	6.71	T	T	F
4.92	11.3622	3.355	T	T	T
7.38	4.26084	3.355	T	T	T
7.38	4.26084	6.71	T	T	F
8.61	4.97099	3.355	T	T	T
8.61	6.39127	3.355	T	T	T
8.61	6.39127	6.71	T	T	F
7.38	5.68113	6.71	T	T	F
8.61	7.81155	6.71	T	T	F
7.38	7.10141	3.355	T	T	T
7.38	8.52169	3.355	T	T	T
7.38	8.52169	6.71	T	T	F
8.61	9.23183	3.355	T	T	T
8.61	10.6521	3.355	T	T	T
8.61	10.6521	6.71	T	T	F
7.38	9.94197	6.71	T	T	F
8.61	12.0724	6.71	T	T	F
7.38	11.3622	3.355	T	T	T
2.46	4.26084	10.065	T	T	F
2.46	4.26084	13.42	T	T	T
3.69	4.97099	10.065	T	T	F
3.69	6.39127	10.065	T	T	F
3.69	6.39127	13.42	T	T	T
2.46	5.68113	13.42	T	T	T
3.69	7.81155	13.42	T	T	T
2.46	7.10141	10.065	T	T	F
2.46	8.52169	10.065	T	T	F
2.46	8.52169	13.42	T	T	T
3.69	9.23183	10.065	T	T	F
3.69	10.6521	10.065	T	T	F
3.69	10.6521	13.42	T	T	T
2.46	9.94197	13.42	T	T	T
3.69	12.0724	13.42	T	T	T
2.46	11.3622	10.065	T	T	F
4.92	4.26084	10.065	T	T	F
4.92	4.26084	13.42	T	T	T
6.15	4.97099	10.065	T	T	F
6.15	6.39127	10.065	T	T	F
6.15	6.39127	13.42	T	T	T
4.92	5.68113	13.42	T	T	T
6.15	7.81155	13.42	T	T	T
4.92	7.10141	10.065	T	T	F
4.92	8.52169	10.065	T	T	F
4.92	8.52169	13.42	T	T	T
6.15	9.23183	10.065	T	T	F
6.15	10.6521	10.065	T	T	F
6.15	10.6521	13.42	T	T	T
4.92	9.94197	13.42	T	T	T
6.15	12.0724	13.42	T	T	T
4.92	11.3622	10.065	T	T	F
7.38	4.26084	10.065	T	T	F
7.38	4.26084	13.42	T	T	T
8.61	4.97099	10.065	T	T	F
8.61	6.39127	10.065	T	T	F
8.61	6.39127	13.42	T	T	T
7.38	5.68113	13.42	T	T	T
8.61	7.81155	13.42	T	T	T
7.38	7.10141	10.065	T	T	F
7.38	8.52169	10.065	T	T	F
7.38	8.52169	13.42	T	T	T
8.61	9.23183	10.065	T	T	F
8.61	10.6521	10.065	T	T	F
8.61	10.6521	13.42	T	T	T
7.38	9.94197	13.42	T	T	T
8.61	12.0724	13.42	T	T	T
7.38	11.3622	10.065	T	T	F
